Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,LARGE_CBSAS,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
1111435,STATE STREET CORP,0001111435,0,1,0,0,0,14,STATE STREET BANK AND TRUST COMPANY,ONE CONGRESS ST.,BOSTON,MA,02114,25025,2023,202312,0,"29,32,38,000",293238000,L,31.46%,12.52%,49.69%,"16,47,85,000",3,3,3,NO LENDING SPECIALTY,0,0,0,0,0,0,20240321
35,AUBURN NATIONAL BCORP INC,0001129533,0,0,0,0,0,35,AUBURNBANK,100 N GAY ST,AUBURN,AL,36830,01081,2023,202312,1,"9,77,289",977289,S,,56.32%,91.83%,"4,91,215",8,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
39,RBC INC,0002526755,0,0,0,0,0,39,ROBERTSON BANKING COMPANY,216 N WALNUT AVE,DEMOPOLIS,AL,36732,01091,2023,202312,1,"4,73,193",473193,S,,65.19%,89.06%,"2,25,172",8,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
41,PHENIX-GIRARD BANCSHARES INC,0002013246,0,0,0,0,0,41,PHENIX-GIRARD BANK,801 13TH ST,PHENIX CITY,AL,36867,01113,2023,202312,1,"2,82,344",282344,S,,27.40%,97.30%,"2,08,133",4,,1,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
49,,,0,0,0,0,0,49,BANK OF EVERGREEN,146 W FRONT ST,EVERGREEN,AL,36401,01035,2023,202312,1,"74,129",74129,S,,34.98%,83.28%,"65,596",1,,1,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
50,INDEPENDENT BANCSHARES EMPLOYE,0003587294,0,0,0,0,0,50,COMMUNITY SPIRIT BANK,200 4TH AVE SW,RED BAY,AL,35582,01059,2023,202312,1,"2,03,154",203154,S,,59.29%,91.63%,"96,822",6,,2,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
51,FIRST VERNON BANCSHARES INC,0001139998,0,0,0,0,0,51,THE BANK OF VERNON,44825 HWY. 17,VERNON,AL,35592,01075,2023,202312,1,"3,27,287",327287,S,,64.13%,82.52%,"1,17,959",5,,2,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
52,CITIZENS BCORP OF WINFIELD INC,0001833616,0,0,0,0,0,52,THE CITIZENS BANK OF WINFIELD,236 BANKHEAD HWY,WINFIELD,AL,35594,01057,2023,202312,1,"3,39,273",339273,S,,22.11%,54.39%,"2,18,652",1,,1,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
54,GADSDEN CORP THE,0001079067,0,0,0,0,0,54,THE EXCHANGE BANK OF ALABAMA,7170 6TH AVE,ALTOONA,AL,35952,01055,2023,202312,1,"3,71,110",371110,S,,52.07%,88.24%,"1,05,009",5,,1,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
1083895,UNITED BCORP OF ALABAMA INC,0001083895,0,0,0,0,0,58,UNITED BANK,200 E NASHVILLE AVE,ATMORE,AL,36502,01053,2023,202312,1,"11,82,794",1307780,S,,61.34%,83.11%,"3,09,850",21,1,2,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
